,_入文本,__文本__的__,,,,,,,,,,,
シーン,本文,対話参加者,,,,,主語の人称,,発話機能と応答,,,送信者の動き,
,,上下関係（受信者）,上下関係（送信者）,送信者身分,受信者身分,内外関係,送信者数,受信者数,主題,やりとりにおける役割,やりとりされるもの,情報,ものとサービス
"あなたは大学生です。前期の試験で赤点を取りそうな感じなのでA教授にこれからのアドバイスを聞くためにメールを送ってください。
","メール名：前期の試験について
A教授
いつもお世話になっております。XX学部１年生のXXです。
いきなり本題で申し訳ありませんが、前期の試験についてなのですが、今回私の勉強不足のせいで赤点になりそうなのですが、もしお時間がございましたら、今後私はどのようにしてゆけば良いかアドバイスしていただけませんでしょうか？宜しくお願い致します。",上,下,学生,教授,内,個人,個人,相談,求める,情報,質問,NaN
"あなたは大学生です。A教授のお陰で前期の試験で赤点を免れました。A教授に本当に感謝している気持ちをメールで伝えてください。
","メール名：前期の試験について
A教授
いつもお世話になっております。XX学部１年生のXXです。
いきなり本題で申し訳ありませんが、今回行われました前期の試験で赤点を免れましたのでご報告いたしました。
Ａ教授には本当に色々とお世話になり言葉では言い表せれないほどです。本当にありがとうございました。そして、これからも宜しくお願い致します。",上,下,学生,教授,内,個人,個人,感謝,与える,情報,陳述,NaN
"あなたは大学生です。専門知識をより深く勉強したいので、いつも講義でお世話になっているA教授に、おすすめの本を紹介してほしいメールを送ってみてください。
","メール名：講義に関する本について
A教授
いつもお世話になっております。XX学部１年生のXXです。

いつも講義ではお世話になっております。
今回、A教授にご相談があるのですが、教授の講義関したおすすめの本はございますでしょうか？
A教授の講義についてもう少し深く勉強したいと思いますので、もしございましたら紹介していただければ幸いです。宜しくお願い致します。",上,下,学生,教授,内,個人,個人,相談,求める,情報,質問,NaN
"あなたは大学生です。少しバイトを励み過ぎたせいで出席日数が危なくなっています。そのことについて一度A教授にメールで相談してみてください。
","メール名：出席日数について
A教授
いつもお世話になっております。XX学部１年生のXXです。

もうご存知と思いますが、私の出席日数についてですが、少しバイトを励み過ぎたせいで出席日数が危なくなっております。これは、全くの自己責任なのは十分承知いたしておりますが、今後どのようにすれば良いのか私自身全く分かりませんので、お教えいただけませんでしょうか？宜しくお願い致します。",上,下,学生,教授,内,個人,個人,相談,求める,情報,質問,NaN
"あなたは大学生です。今回のリポートが上手く進んでおらず、このままでは提出日に間に合わなくなりそうなのでA教授にメールで相談してみてください。
","メール名：リポートについて
A教授
いつもお世話になっております。XX学部１年生のXXです。

今回提出するレポートについてですが、私の作業の遅さからこのままでは提出日に間に合わなくなりそうなので今回連絡させていただきました。遅れた場合、今後どのようにすれば良いのかお教えいただけませんでしょうか？宜しくお願い致します。

",上,下,学生,教授,内,個人,個人,相談,求める,情報,質問,NaN
"あなたは大学生です。そろそろ就職活動の時期になってきましたが、過去の卒業生の就職情報がはっきり分からないので、一度A教授にメールで相談して聞いてみてください。
","メール名：就職情報について
A教授
いつもお世話になっております。XX学部4年生のXXです。
そろそろ就職活動の時期になってきましたので、私自身も色々調べているのですが、過去の卒業生の就職情報がはっきり分からないので、今回A教授にメールで相談してみようと思いました。もしお分かりになるようでしたら過去の卒業生の就職情報をお教えいただけれませんでしょうか？宜しくお願い致します。",上,下,学生,教授,内,個人,個人,相談,求める,情報,質問,NaN
"あなたは大学生です。海外からの友達の英文で分からない文があり自分ではどう仕様もないので、いつも英語を教えて頂いているA教授にメールで聞いてみてください。
","メール名：英文について
A教授
いつもお世話になっております。XX学部１年生のXXです。

今回、私が知り合った海外からの友達の英文で分からない文があり自分ではどう仕様もないので、いつも英語を教えていただいているＡ教授に相談できないかとメールさせていただきました。忙しいのは十分承知しておりますが、もしお時間がございましたら英文の意味をお教えいただけませんでしょうか？宜しくお願い致します。",上,下,学生,教授,内,個人,個人,相談,求める,情報,質問,NaN
"あなたは大学生です。明日に控えた講義にどうしても出れないので、A教授に理由を述べて申し訳なく欠席することをメールで伝えてみてください。
","メール名：明日の講義について
A教授
いつもお世話になっております。XX学部１年生のXXです。

明日の講義についてですが、母が倒れまして急遽実家に戻るため明日の講義にどうしても出れないので、ご連絡いたしました。後ほど、詳細はご連絡いたします。本当に申し訳ございません。",上,下,学生,教授,内,個人,個人,連絡,与える,情報,陳述,NaN
"あなたは大学生です。今回家庭の事情で半年休学するようになったことを、お世話になっていたA教授にメールで理由を述べてみてください。
","メール名：休学について
A教授
いつもお世話になっております。XX学部１年生のXXです。

この度、家庭の事情によって半年休学するようになってしまいました。A教授には今迄お世話になっていたこともあり本当に申し訳なく思っております。そういった事情ですが、復学後にはこれまで以上に勉強に励もうと思いますので今後も宜しくお願い致します。",上,下,学生,教授,内,個人,個人,連絡,与える,情報,陳述,NaN
"A教授に夏休みで会いに行くことも出来ませんので、いつもお世話になっているA教授にメールで「最近いかがお過ごしでしょうか？」という感じで近況を聞いてみてください。
","メール名：最近いかがお過ごしでしょうか？
A教授
いつもお世話になっております。XX学部１年生のXXです。

まだまだ暑い日が続きますがいかがお過ごしでしょうか？
いつも勉強を教えていただいていたこともあり、Ａ教授の事を思い出しメールを出させていただきました。
Ａ教授は夏休みは楽しめておられますか？
あと少しで後期が始まりますが、その際はまた以前のように宜しくお願い致します。",上,下,学生,教授,内,個人,個人,挨拶,与える,情報,陳述,NaN
"あなたは大学生です。今回、不幸にもバイクで事故をして入院することになってしまいました。いつもお世話になっているA教授にメールで状況報告と今後について話してみてください。
","メール名：私事ですが・・・。
A教授
いつもお世話になっております。XX学部１年生のXXです。

突然ではありますが、今回不幸にもバイクで事故をして入院することになってしまいました。何はともあれまずＡ教授にだけはと思い連絡させていただきました。このように意識にも問題も無く身体も大きなダメージはありませんのでご心配なく。ただ、少しの間は学校にいけそうにありませんので本当にそれだけは申し訳なく思っております。また何かございましたらご連絡いたします。",上,下,学生,教授,内,個人,個人,連絡,与える,情報,陳述,NaN
"あなたは大学生です。次に提出するレポートについて分からない点が出てきたのでA教授にメールして聞いてみてください。
","メール名：レポートについて
A教授
いつもお世話になっております。XX学部１年生のXXです。

今回提出するレポートについて分からない点が出てきたのでA教授にメールさせていただきました。お忙しいとは思いますが、もしお時間が頂けるようでしたら詳細を送らせて頂きますので、まずはご連絡いただけませんでしょうか？宜しくお願い致します。
",上,下,学生,教授,内,個人,個人,相談,求める,ものとサービス,提供,NaN
"あなたは大学生です。大学卒業後には続けて大学院に行き続けて勉強したいと思っています。そこで、大学院に行く方法についていつもお世話になっているA教授にメールで相談してみてください。
","メール名：レポートについて
A教授
いつもお世話になっております。XX学部4年生のXXです。

卒業が近くなり、今の私の考えでは大学卒業後には続けて大学院に行き続けて勉強したいと思っています。そこで、大学院に行く方法についていつもお世話になっているA教授にお聞きできないかと考え、今回メールさせていただきました。もし、何か良い方法等がございましたらお教えいただけませんでしょうか？宜しくお願い致します。
",上,下,学生,教授,内,個人,個人,相談,求める,情報,質問,NaN
"あなたは大学生です。A教授のゼミで調べている研究の中で分からない点が少し出てきましたので、A教授にメールで聞いてみてください。
","メール名：ゼミの研究について
A教授
いつもお世話になっております。XX学部4年生のXXです。
今回、A教授のゼミで調べている研究の中で分からない点が少し出てきましたので、A教授にメールで聞いてみようと考え、Ａ教授にメールをさせていただきました。お忙しいとは思いますが、もしお時間が頂けるようでしたら分からない点をを記したファイルを送らせて頂きますので、まずはお返事をいただけませんでしょうか？宜しくお願い致します。
",上,下,学生,教授,内,個人,個人,相談,求める,情報,質問,NaN
"あなたは大学生です。最近親からの仕送りも減り、大学生活が相当苦しくなってきましたので学生支援（奨学金等）についてA教授にメールで相談して聞いてみてください。
","メール名：学生支援について
A教授
いつもお世話になっております。XX学部1年生のXXです。

今回、親からの仕送りも減り大学生活が相当苦しくなってきましたので学生支援（奨学金等）を受けれないか考え、一度Ａ教授に相談したくご連絡させていただきました。もし、Ａ教授が学生支援（奨学金等）についての情報をお持ちでしたらお教え頂けませんでしょうか？宜しくお願い致します。",上,下,学生,教授,内,個人,個人,相談,求める,情報,質問,NaN
"あなたは大学生です。あなたは入学して間もなく、未だに何が何だかわからない状態ですので、最近少し話ができるようになったA教授にメールで大学生活について色々質問してみてください。
","メール名：大学生活について
A教授
いつもお世話になっております。XX学部1年生のXXです。

大学についてですが、入学して間もなく、未だに何が何だかわからない状態ですのでＡ教授に何か良いアドバイスをいただけれないかと考えメールさせていただきました。お忙しいとは思いますが、簡単で構いませんので何かアドバイスを頂ければ幸いです。",上,下,学生,教授,内,個人,個人,相談,求める,情報,質問,NaN
"あなたは田舎から出てきて下宿していますが、母親が病に倒れ実家に一度帰ることになりました。そこでいつもお世話になっているA教授にメールでこれから少しの間講義に出れないことを伝えてください。
","メール名：大変申し訳ありません
A教授
いつもお世話になっております。XX学部1年生のXXです。

急で申し訳ないですが、母親が病に倒れ実家に一度帰ることになりました。本当に急で私自身も心の整理が出来ておりませんが、取りあえずは実家に戻ります。落ち着きましたら再度ご連絡いたします。本当に申し訳ございません。",上,下,学生,教授,内,個人,個人,連絡,与える,情報,陳述,NaN
"あなたは大学生です。半年間休学しておりましたが、無事今回復学できるようになったので、A教授にメールで復学の報告と「また宜しくお願いします」と挨拶してみてください。
","メール名：復学します
A教授
いつもお世話になっております。XX学部1年生のXXです。

半年間休学しておりましたが、無事今回復学できるようになりましたので、A教授にメールをと思いメールを出させていただきました。これからは以前以上に勉学に励みますので、宜しくお願い致します。
",上,下,学生,教授,内,個人,個人,挨拶,与える,情報,陳述,NaN
"あなたは大学生です。いつもお昼はA教授とゼミの仲間達と食べるのが通常でしたが、明日から何日かの間お昼は都合が悪く顔を出せなくなるので、一応A教授に謝りのメールを入れてみてください。
","メール名：お昼について
A教授
いつもお世話になっております。XX学部1年生のXXです。

いつもお昼はA教授とゼミの仲間達と食べて楽しませていただきましたが、明日から何日かの間、昼の時間帯は病院に通うことになりそうなので顔を出せなくなってしまいました。病院といいましても整骨院のようなもので大した病気ではございません。そいいった事情ですので本当に申し訳ございません。

",上,下,学生,教授,内,個人,個人,謝罪,与える,情報,陳述,NaN
"あなたは大学生です。A教授に出したレポートの中で重大なミスをしていた事が後から分かりました。A教授にメールで現在自分が分かっている限りのミスを正直に話して対処方法を聞いてみてください。
","メール名：レポートについて
A教授
いつもお世話になっております。XX学部1年生のXXです。

今回提出いたしましたレポートについてなのですが、私の不手際から重大なミスをしていた事が分かりました。レポートの書き方で、順序と説明がおかしくなっております。お手数なのは承知しておりますが、訂正が可能でありましたら修正させていただけませんでしょうか？または何か方法があればお教え頂ければ幸いです。宜しくお願い致します。",上,下,学生,教授,内,個人,個人,相談,求める,情報,質問,NaN
クライアント会社よりご購入頂いた商品の感想が届きました。ほとんどのお客様が「使用感は良いが、デザインがイマイチ」との意見です。それを上司に報告するメールを書いて下さい。,"メール名: 顧客からのフィードバックについて
XX部長

先日実施した新製品XXについての購入者アンケートの結果をご報告いたします。20代から60代の購入者300名を対象に実施したアンケート調査の結果ですが、85%の購入者が使用感に満足できた、と回答しています。機能性に関しては顧客からの反応は概してポジティブという結果が見えてきました。その反面デザイン性に関しては、不満足と答えた方が半数近くおり、今後の課題として開発部に伝えていただければと思います。

カスタマーサポート担当XX",上,下,授業員,顧客,外,個人,個人,お知らせ,与える,情報,陳述,NaN
顧客A様からご依頼頂きました商品が入荷しました。あなたはA様に商品の入荷をお知らせするメールを書いて下さい。,"メール名: 商品入荷のお知らせ

A様。
日頃より弊社の製品をご愛顧くださり、まことにありがとうございます。先月ご注文いただきました商品ですが、本日入荷いたしましたので、ご都合のよろしいときにご来店いただければと存じ上げます。ご自宅へのご配送をご希望される場合は、お手数でございますが、下記の配送センターまでご連絡くださいますようお願い申し上げます。

配送センター　担当XX",上,下,従業員,顧客,外,個人,個人,お知らせ,与える,情報,陳述,NaN
今月の月次報告が出来ました。前月比では10％の増収となりました。自社にある部門全員に、それを報告をするメールを書いて下さい。,"メール名: 月次報告

今月の月次報告の概要をとりまとめお知らせいたします。世界的な景況感を受け、今月は前月比10%の増収となり、今期最高値を更新することができました。大多数の企業が減収増益となる中、弊社では増収増益という理想的な状態を達成することができました。来月以降の目標値に関しましては、今月の業績を元に上方修正した後、共有いたしますので、いましばらくお待ちください。

経理部XX
",中,中,従業員,ある部門,内,個人,複数人,お知らせ,与える,情報,陳述,NaN